specialty_clean,specialty,category,match_method,match_score
kidneyHealthCentre,Kidney Health Centre,"Urology, Nephrology & Transplant",normalized_exact,1.000
refractiveSurgeryServices,Refractive Surgery Services,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
Rasayana chikitsa,Rasayana Chikitsa,Alternative & Integrative Medicine,normalized_exact,1.000
jointReplacementAndSpineSurgery,Joint Replacement and Spine Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
tobaccoCessationClinic,Tobacco Cessation Clinic,Other / Needs Review,normalized_exact,1.000
lazyEye,Lazy Eye,Ophthalmology,normalized_exact,1.000
crownsAndBridgesFixing,Crowns and Bridges Fixing,"Dental, Oral & Maxillofacial",normalized_exact,1.000
pediatricEndodontics,Pediatric Endodontics,Pediatrics & Neonatology,normalized_exact,1.000
dentist,Dentist,"Dental, Oral & Maxillofacial",normalized_exact,1.000
gastroIntestinalSurgeon,Gastro Intestinal Surgeon,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
implantologist,Implantologist,"Dental, Oral & Maxillofacial",normalized_exact,1.000
bloodPressure,Blood Pressure,Other / Needs Review,normalized_exact,1.000
anesthesiologist,Anesthesiologist,Anesthesia & Pain Medicine,normalized_exact,1.000
precisionMedicine,Precision Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
painManagementPMR,Pain Management Pmr,Anesthesia & Pain Medicine,normalized_exact,1.000
diagnosticAndAdvancedLaparoscopicSurgery,Diagnostic and Advanced Laparoscopic Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Hip  Knee Reconstructive Surgeon,Hip Knee Reconstructive Surgeon,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
skinAndVD,Skin and Vd,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
periodonticsAndOralImplantology,Periodontics and Oral Implantology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
palliativeOncology,Palliative Oncology,Oncology & Hematology,normalized_exact,1.000
ocularProsthetics,Ocular Prosthetics,Ophthalmology,normalized_exact,1.000
slippedDisc,Slipped Disc,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Neurosciences  Spinal Disorders,Neurosciences Spinal Disorders,Neurology & Neurosurgery,normalized_exact,1.000
cataractAndRefractiveLensSurgery,Cataract and Refractive Lens Surgery,Ophthalmology,normalized_exact,1.000
pediatricNeuroradiology,Pediatric Neuroradiology,Pediatrics & Neonatology,normalized_exact,1.000
dentalJewellery,Dental Jewellery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Strabismus,Strabismus,Ophthalmology,normalized_exact,1.000
Veneers  Laminates,Veneers Laminates,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Crown  Bridges,Crown Bridges,"Dental, Oral & Maxillofacial",normalized_exact,1.000
clinicalHaematology,Clinical Haematology,Oncology & Hematology,normalized_exact,1.000
prosthodonticsAndCrownAndBridge,Prosthodontics and Crown and Bridge,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Genomics,Genomics,Other / Needs Review,normalized_exact,1.000
visionEnhancementAndRehabilitation,Vision Enhancement and Rehabilitation,Ophthalmology,normalized_exact,1.000
