specialty_clean,specialty,category,match_method,match_score
dysphonia,Dysphonia,"ENT, Head & Neck",normalized_exact,1.000
oralMotricity,Oral Motricity,"Dental, Oral & Maxillofacial",normalized_exact,1.000
facialPlasticsAndReconstructiveOtolaryngology,Facial Plastics and Reconstructive Otolaryngology,"ENT, Head & Neck",normalized_exact,1.000
cardioOncology,Cardio Oncology,Cardiology & Cardiothoracic,normalized_exact,1.000
prasutiTantraEvumStriRoga,Prasuti Tantra Evum Stri Roga,Alternative & Integrative Medicine,normalized_exact,1.000
Oral and MaxillofacialSurgery,Oral and Maxillofacial Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
neuroplasticNeurosurgery,Neuroplastic Neurosurgery,Neurology & Neurosurgery,normalized_exact,1.000
lactationConsultancy,Lactation Consultancy,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
vascularSurgeryAndInterventionalRadiology,Vascular Surgery and Interventional Radiology,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
perioperativeAnesthesia,Perioperative Anesthesia,Anesthesia & Pain Medicine,normalized_exact,1.000
generalGastroIntestinalSurgery,General Gastro Intestinal Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
accidentAndTrauma,Accident and Trauma,"Emergency, Trauma & Critical Care",normalized_exact,1.000
cosmeticsAndAestheticsDentistry,Cosmetics and Aesthetics Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
paediatricRenalCentre,Paediatric Renal Centre,Pediatrics & Neonatology,normalized_exact,1.000
Tuberculosis TB and Chest,Tuberculosis Tb and Chest,Pulmonology & Respiratory,normalized_exact,1.000
pediatricsSportsMedicine,Pediatrics Sports Medicine,Pediatrics & Neonatology,normalized_exact,1.000
sedationDentistry,Sedation Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
gastricSurgery,Gastric Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
vitrectomy,Vitrectomy,Other / Needs Review,normalized_exact,1.000
contouraVision,Contoura Vision,Ophthalmology,normalized_exact,1.000
cardiothoracic,Cardiothoracic,Cardiology & Cardiothoracic,normalized_exact,1.000
Sports Medicine,Sports Medicine,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
orthopaedicsAndTrauma,Orthopaedics and Trauma,"Emergency, Trauma & Critical Care",normalized_exact,1.000
sexualMedicineAndMaritalTherapy,Sexual Medicine and Marital Therapy,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
microbiologyLab,Microbiology Lab,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
oculoPlasticSurgery,Oculo Plastic Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
dentofacialOrthopedics,Dentofacial Orthopedics,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
General  Community Dentistry,General Community Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
cancerMarker,Cancer Marker,Oncology & Hematology,normalized_exact,1.000
oral and maxillofacial pathology,Oral and Maxillofacial Pathology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
generalAnatomy,General Anatomy,Other / Needs Review,normalized_exact,1.000
pedodonticsAndPreventiveDentistry,Pedodontics and Preventive Dentistry,Pediatrics & Neonatology,normalized_exact,1.000
vascularAndInterventionalRadiology,Vascular and Interventional Radiology,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
breastReduction,Breast Reduction,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
neurovascularDisorders,Neurovascular Disorders,Neurology & Neurosurgery,normalized_exact,1.000
highRiskPregnancyCare,High Risk Pregnancy Care,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
laboratoryAndOncopathology,Laboratory and Oncopathology,Oncology & Hematology,normalized_exact,1.000
comprehensiveOphthalmology,Comprehensive Ophthalmology,Ophthalmology,normalized_exact,1.000
Endocrine Surgery,Endocrine Surgery,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
Dentistry  Periodontal,Dentistry Periodontal,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Circumcision,Circumcision,"Urology, Nephrology & Transplant",normalized_exact,1.000
dentalImplant,Dental Implant,"Dental, Oral & Maxillofacial",normalized_exact,1.000
interventionalOncology,Interventional Oncology,Oncology & Hematology,normalized_exact,1.000
parasitology,Parasitology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
molecularBiology,Molecular Biology,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
facialPlastsAndReconstructiveOtolaryngology,Facial Plasts and Reconstructive Otolaryngology,"ENT, Head & Neck",normalized_exact,1.000
dental implants,Dental Implants,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Deep Scaling and Polishing,Deep Scaling and Polishing,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Dental Lab,Dental Lab,"Dental, Oral & Maxillofacial",normalized_exact,1.000
orthopedicTraumaAndComplexFractureSurgery,Orthopedic Trauma and Complex Fracture Surgery,"Emergency, Trauma & Critical Care",normalized_exact,1.000
heartAndLungTransplantation,Heart and Lung Transplantation,Cardiology & Cardiothoracic,normalized_exact,1.000
Rasa chikitsa,Rasa Chikitsa,Alternative & Integrative Medicine,normalized_exact,1.000
Molecular Diagnostics,Molecular Diagnostics,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
nutritionalOncology,Nutritional Oncology,Oncology & Hematology,normalized_exact,1.000
smilePro,Smile Pro,"Dental, Oral & Maxillofacial",normalized_exact,1.000
dryEyes,Dry Eyes,Other / Needs Review,normalized_exact,1.000
predescemetsendothelialkeratoplasty,Predescemetsendothelialkeratoplasty,Ophthalmology,normalized_exact,1.000
crownsAndBridges,Crowns and Bridges,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Plastic  Reconstructive Surgery,Plastic Reconstructive Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
childAndAdolescentPsychiatrist,Child and Adolescent Psychiatrist,Pediatrics & Neonatology,normalized_exact,1.000
pediatricCardiacCentre,Pediatric Cardiac Centre,Cardiology & Cardiothoracic,normalized_exact,1.000
gastrology,Gastrology,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
hematologyOncology,Hematology Oncology,Oncology & Hematology,normalized_exact,1.000
Gastroenterology  Hepatology,Gastroenterology Hepatology,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Pediatrics,Pediatrics,Pediatrics & Neonatology,normalized_exact,1.000
craniofacialSurgery,Craniofacial Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
gynaeoncology,Gynaeoncology,Oncology & Hematology,normalized_exact,1.000
endourologicalSurgery,Endourological Surgery,"Urology, Nephrology & Transplant",normalized_exact,1.000
venereologyAndSexology,Venereology and Sexology,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
clinicalChemistry,Clinical Chemistry,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
ICU,ICU,"Emergency, Trauma & Critical Care",normalized_exact,1.000
Vitrectomy,Vitrectomy,Other / Needs Review,normalized_exact,1.000
Implant Dentistry,Implant Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
oldAgeCare,Old Age Care,Geriatrics & Palliative Care,normalized_exact,1.000
paediatricNutrition,Paediatric Nutrition,Pediatrics & Neonatology,normalized_exact,1.000
Venerology,Venerology,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
homeopathicDoctors,Homeopathic Doctors,Alternative & Integrative Medicine,normalized_exact,1.000
allergyAndAsthmaSpecialist,Allergy and Asthma Specialist,Pulmonology & Respiratory,normalized_exact,1.000
substanceUseDisorder,Substance Use Disorder,Other / Needs Review,normalized_exact,1.000
GlaucomaServices,Glaucoma Services,Ophthalmology,normalized_exact,1.000
bacteriologyLaboratory,Bacteriology Laboratory,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
organTesting,Organ Testing,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
kneeAndJointReplacement,Knee and Joint Replacement,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
neuroEndoscopySurgery,Neuro Endoscopy Surgery,Neurology & Neurosurgery,normalized_exact,1.000
neuroendoscopySurgery,Neuroendoscopy Surgery,Neurology & Neurosurgery,normalized_exact,1.000
gyneOncology,Gyne Oncology,Oncology & Hematology,normalized_exact,1.000
Physiotherapist,Physiotherapist,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
General Internal Medicine,General Internal Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
Contoura Lasik,Contoura Lasik,Ophthalmology,normalized_exact,1.000
Acne Scar Treatment,Acne Scar Treatment,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
Melasma Treatment,Melasma Treatment,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
Geriatric dermatology,Geriatric Dermatology,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
cancer dentistry,Cancer Dentistry,Oncology & Hematology,normalized_exact,1.000
implant dentistry,Implant Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
anorectalSurgery,Anorectal Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
homeCareServices,Home Care Services,Geriatrics & Palliative Care,normalized_exact,1.000
surgicalGastroEnterology,Surgical Gastro Enterology,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Sedation Dentistry,Sedation Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
virologyLaboratory,Virology Laboratory,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
obsessiveCompulsiveDisorder,Obsessive Compulsive Disorder,Other / Needs Review,normalized_exact,1.000
communityDentistryPublicHealthDentistry,Community Dentistry Public Health Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
burnsSurgery,Burns Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
prostheticOrthotic,Prosthetic Orthotic,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Gynaecologic Oncology,Gynaecologic Oncology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
tmjTreatment,Tmj Treatment,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Carerisk management of adult asthma,Carerisk Management of Adult Asthma,Pulmonology & Respiratory,normalized_exact,1.000
cardiologyTests,Cardiology Tests,Cardiology & Cardiothoracic,normalized_exact,1.000
ophthalmology,Ophthalmology,Ophthalmology,normalized_exact,1.000
burnAndTraumaPlasticSurgery,Burn and Trauma Plastic Surgery,"Emergency, Trauma & Critical Care",normalized_exact,1.000
pediatrics,Pediatrics,Pediatrics & Neonatology,normalized_exact,1.000
pediatricSurgery,Pediatric Surgery,Pediatrics & Neonatology,normalized_exact,1.000
criticalCareMedicine,Critical Care Medicine,"Emergency, Trauma & Critical Care",normalized_exact,1.000
cardiology,Cardiology,Cardiology & Cardiothoracic,normalized_exact,1.000
breastSurgery,Breast Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
hematology,Hematology,Oncology & Hematology,normalized_exact,1.000
roboticSurgery,Robotic Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
urologicOncology,Urologic Oncology,Oncology & Hematology,normalized_exact,1.000
orthodontics,Orthodontics,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
bariatricSurgery,Bariatric Surgery,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
developmentalbehavioralPediatrics,Developmentalbehavioral Pediatrics,Pediatrics & Neonatology,normalized_exact,1.000
psychiatry,Psychiatry,Mental Health & Behavioral,normalized_exact,1.000
vascularNeurology,Vascular Neurology,Neurology & Neurosurgery,normalized_exact,1.000
rheumatology,Rheumatology,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
paediatrics,Pediatrics,Pediatrics & Neonatology,manual,1.000
andrologyAndMaleFertility,Andrology and Male Fertility,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
paediatricDermatology,Paediatric Dermatology,Pediatrics & Neonatology,normalized_exact,1.000
cognitiveAndBehavioralNeurology,Cognitive and Behavioral Neurology,Neurology & Neurosurgery,normalized_exact,1.000
geriatricRehabilitation,Geriatric Rehabilitation,Geriatrics & Palliative Care,normalized_exact,1.000
consultationLiaisonPsychiatry,Consultation Liaison Psychiatry,Mental Health & Behavioral,normalized_exact,1.000
handOrUpperExtremityAndPeripheralNerveSurgery,Hand Or Upper Extremity and Peripheral Nerve Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
genitourinarySurgery,Genitourinary Surgery,"Urology, Nephrology & Transplant",normalized_exact,1.000
stemCellBanking,Stem Cell Banking,Other / Needs Review,normalized_exact,1.000
lungTransplant,Lung Transplant,"Urology, Nephrology & Transplant",normalized_exact,1.000
oralOncology,Oral Oncology,Oncology & Hematology,normalized_exact,1.000
physiology,Physiology,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
liverTransplantationAndHepatobiliarySurgery,Liver Transplantation and Hepatobiliary Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
orthopaedicRoboticSurgery,Orthopaedic Robotic Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Fertility,Fertility,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
kidneySciences,Kidney Sciences,"Urology, Nephrology & Transplant",normalized_exact,1.000
neuroSciences,Neuro Sciences,Neurology & Neurosurgery,normalized_exact,1.000
neurocriticalCare,Neurocritical Care,"Emergency, Trauma & Critical Care",normalized_exact,1.000
orbitAndOculoplasty,Orbit and Oculoplasty,Ophthalmology,normalized_exact,1.000
vascularAndThoracicSurgery,Vascular and Thoracic Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
nuclearMedicineAndTheranostics,Nuclear Medicine and Theranostics,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
Dermatology,Dermatology,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
haematology,Haematology,Oncology & Hematology,normalized_exact,1.000
visualElectroPhysiology,Visual Electro Physiology,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
contactLens,Contact Lens,Other / Needs Review,normalized_exact,1.000
Binocular Vision  Squint,Binocular Vision Squint,Ophthalmology,normalized_exact,1.000
nephroticSyndrome,Nephrotic Syndrome,"Urology, Nephrology & Transplant",normalized_exact,1.000
infectiousDiseaseControl,Infectious Disease Control,Infectious Disease & Public Health,normalized_exact,1.000
IUI Treatment,Iui Treatment,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
rheumatologyAndImmunology,Rheumatology and Immunology,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
healthCheckup,Health Checkup,"Administration, Operations & Support Services",normalized_exact,1.000
NonInterventional Cardiology,Non Interventional Cardiology,Cardiology & Cardiothoracic,normalized_exact,1.000
Microbiology,Microbiology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
imagingTests,Imaging Tests,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
LASIK,Lasik,Ophthalmology,normalized_exact,1.000
criticalcare,Criticalcare,"Emergency, Trauma & Critical Care",normalized_exact,1.000
oncologyoncosurgery,Oncologyoncosurgery,Oncology & Hematology,normalized_exact,1.000
neurogeneticsAndRareDiseases,Neurogenetics and Rare Diseases,Neurology & Neurosurgery,normalized_exact,1.000
dentalAndMaxillofacialSurgery,Dental and Maxillofacial Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
EarNoseThroat ENT Specialist,Earnosethroat ENT Specialist,"ENT, Head & Neck",manual,1.000
contouraLasik,Contoura Lasik,Ophthalmology,normalized_exact,1.000
prkSurgery,Prk Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
d dentistry,D Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
peridontics,Peridontics,"Dental, Oral & Maxillofacial",normalized_exact,1.000
medicalToxicologyEM,Medical Toxicology Em,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
uroSurgery,Uro Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
Lacrimal Gland Tumor,Lacrimal Gland Tumor,Oncology & Hematology,normalized_exact,1.000
Paedodontist,Paedodontist,Pediatrics & Neonatology,normalized_exact,1.000
boneMorphogeneticProtein,Bone Morphogenetic Protein,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
Critical Care,Critical Care,"Emergency, Trauma & Critical Care",normalized_exact,1.000
Paediatrics  Neonatology,Paediatrics Neonatology,Pediatrics & Neonatology,normalized_exact,1.000
peripheralVascularSurgery,Peripheral Vascular Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
neuroSpinalSurgery,Neuro Spinal Surgery,Neurology & Neurosurgery,normalized_exact,1.000
rheumatologyAndBoneHealth,Rheumatology and Bone Health,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
osteoporosis,Osteoporosis,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
bloodCentre,Blood Centre,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
refractiveErrors,Refractive Errors,Other / Needs Review,normalized_exact,1.000
psychologyAndCounselling,Psychology and Counselling,Mental Health & Behavioral,normalized_exact,1.000
MinimallyInvasiveSurgeryAndEndourology,Minimally Invasive Surgery and Endourology,"Urology, Nephrology & Transplant",normalized_exact,1.000
kayachikitsa,Kayachikitsa,Alternative & Integrative Medicine,normalized_exact,1.000
Endodontics,Endodontics,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Pedodontics,Pedodontics,Pediatrics & Neonatology,normalized_exact,1.000
neurophysiology,Neurophysiology,Neurology & Neurosurgery,normalized_exact,1.000
clinicalNutritionAndDietitics,Clinical Nutrition and Dietitics,Nutrition & Dietetics,normalized_exact,1.000
Endodontist,Endodontist,"Dental, Oral & Maxillofacial",normalized_exact,1.000
traumaAndOrthopaedics,Trauma and Orthopaedics,"Emergency, Trauma & Critical Care",normalized_exact,1.000
dentofacialOrthopaedics,Dentofacial Orthopaedics,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
nephrosurgery,Nephrosurgery,"Urology, Nephrology & Transplant",normalized_exact,1.000
clinicalImmunology,Clinical Immunology,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
immunohematologyandbloodtransfusion,Immunohematologyandbloodtransfusion,Oncology & Hematology,normalized_exact,1.000
kidneyTransplant,Kidney Transplant,"Urology, Nephrology & Transplant",normalized_exact,1.000
PaediatricEndocrinology,Paediatric Endocrinology,Pediatrics & Neonatology,normalized_exact,1.000
cosmeticGynocology,Cosmetic Gynocology,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
neonatalAndPaediatrics,Neonatal and Paediatrics,Pediatrics & Neonatology,normalized_exact,1.000
neurosurgeon,Neurosurgeon,Neurology & Neurosurgery,normalized_exact,1.000
uroOncoTreatment,Uro Onco Treatment,Oncology & Hematology,normalized_exact,1.000
imagingInterventionalRadiology,Imaging Interventional Radiology,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
hormonalAssaysLab,Hormonal Assays Lab,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
Serology,Serology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
oralAndMaxillofacialPathologyAndOralMicrobiology,Oral and Maxillofacial Pathology and Oral Microbiology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
prolapseOfThePelvicOrgans,Prolapse of The Pelvic Organs,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
Cardiology and Critical Coronary Care,Cardiology and Critical Coronary Care,Cardiology & Cardiothoracic,normalized_exact,1.000
Gastroscience,Gastroscience,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
solidOrganTransplantation,Solid Organ Transplantation,"Urology, Nephrology & Transplant",normalized_exact,1.000
boneMarrowTransplantationUnit,Bone Marrow Transplantation Unit,Oncology & Hematology,normalized_exact,1.000
Periodontics,Periodontics,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Biochemistry,Biochemistry,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
hospitalMedicine,Hospital Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
militaryPsychiatry,Military Psychiatry,Mental Health & Behavioral,normalized_exact,1.000
OBSTERICS  GYNAECOLOGY,Obsterics Gynaecology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
endoscopicAssistedSpineSurgery,Endoscopic Assisted Spine Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
smileDesigning,Smile Designing,"Dental, Oral & Maxillofacial",normalized_exact,1.000
cardiologyAndElectrophysiology,Cardiology and Electrophysiology,Cardiology & Cardiothoracic,normalized_exact,1.000
Medical Genetics  Genetic Counseling,Medical Genetics Genetic Counseling,Mental Health & Behavioral,normalized_exact,1.000
physiotherapyTreatment,Physiotherapy Treatment,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
dentalSciences,Dental Sciences,"Dental, Oral & Maxillofacial",normalized_exact,1.000
andrologyAndEmbryology,Andrology and Embryology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
Pediatric Surgery,Pediatric Surgery,Pediatrics & Neonatology,normalized_exact,1.000
CounselingClinical Psychology,Counseling Clinical Psychology,Mental Health & Behavioral,normalized_exact,1.000
hormonalAssays,Hormonal Assays,Other / Needs Review,normalized_exact,1.000
PSYCHIATRY,Psychiatry,Mental Health & Behavioral,normalized_exact,1.000
Ent,ENT,"ENT, Head & Neck",normalized_exact,1.000
general  laparoscopic surgery,General Laparoscopic Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
orth orthopedic wrong,Orth Orthopedic Wrong,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
teethBleaching,Teeth Bleaching,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Clear aligners,Clear Aligners,"Dental, Oral & Maxillofacial",normalized_exact,1.000
andrologyAndSexology,Andrology and Sexology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
Keratoplasty,Keratoplasty,Ophthalmology,normalized_exact,1.000
cosmeticGynecology,Cosmetic Gynecology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
Marma chikitsa,Marma Chikitsa,Alternative & Integrative Medicine,normalized_exact,1.000
Vajikarana chikitsa,Vajikarana Chikitsa,Alternative & Integrative Medicine,normalized_exact,1.000
speechAndLanguage,Speech and Language,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
childNutritionist,Child Nutritionist,Pediatrics & Neonatology,normalized_exact,1.000
nutritionDietetics,Nutrition Dietetics,Nutrition & Dietetics,normalized_exact,1.000
traumaAndJointReplacement,Trauma and Joint Replacement,"Emergency, Trauma & Critical Care",normalized_exact,1.000
impactionToothExtraction,Impaction Tooth Extraction,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Cardiac Diseases,Cardiac Diseases,Cardiology & Cardiothoracic,normalized_exact,1.000
accidentAndTraumaCare,Accident and Trauma Care,"Emergency, Trauma & Critical Care",normalized_exact,1.000
hepatologist,Hepatologist,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
pulmonologist,Pulmonologist,Pulmonology & Respiratory,normalized_exact,1.000
urologyNephrology,Urology Nephrology,"Urology, Nephrology & Transplant",normalized_exact,1.000
null,Null,Invalid / Non-specialty,normalized_exact,1.000
nephrologyDialysis,Nephrology Dialysis,"Urology, Nephrology & Transplant",normalized_exact,1.000
chalazion,Chalazion,Ophthalmology,normalized_exact,1.000
Infertility  IVF,Infertility IVF,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
PRP,Prp,Other / Needs Review,normalized_exact,1.000
Hip Replacement Specialist,Hip Replacement Specialist,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
intensiveCare,Intensive Care,"Emergency, Trauma & Critical Care",normalized_exact,1.000
sexualMedicine,Sexual Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
Histopathology  Cytology,Histopathology Cytology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
oralCancerCare,Oral Cancer Care,Oncology & Hematology,normalized_exact,1.000
threeDimensionalScanners,Three Dimensional Scanners,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
lowVisionAssessment,Low Vision Assessment,Ophthalmology,normalized_exact,1.000
immunoassays,Immunoassays,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
pediatricHaematologyOncology,Pediatric Haematology Oncology,Pediatrics & Neonatology,normalized_exact,1.000
Liver and Pancreas Surgery,Liver and Pancreas Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
neonatalSurgery,Neonatal Surgery,Pediatrics & Neonatology,normalized_exact,1.000
Thumb Recreation,Thumb Recreation,Other / Needs Review,normalized_exact,1.000
DiabeticEyecare,Diabetic Eyecare,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
gynecologyAndUrogynecology,Gynecology and Urogynecology,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
minimallyInvasiveOrthopaedicSurgery,Minimally Invasive Orthopaedic Surgery,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
trichology,Trichology,Other / Needs Review,normalized_exact,1.000
herniaSurgery,Hernia Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
generalInternalMedicine,General Internal Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
orofacialPainAndOralMedicine,Orofacial Pain and Oral Medicine,"Dental, Oral & Maxillofacial",normalized_exact,1.000
crowns,Crowns,"Dental, Oral & Maxillofacial",normalized_exact,1.000
Laser Pigmentation Removal,Laser Pigmentation Removal,Other / Needs Review,normalized_exact,1.000
dentalMaxillofacialRadiology,Dental Maxillofacial Radiology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
cosmeticAndCosmeticSurgery,Cosmetic and Cosmetic Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
rachanasarira,Rachanasarira,Other / Needs Review,normalized_exact,1.000
immunohematologyBloodTransfusion,Immunohematology Blood Transfusion,Oncology & Hematology,normalized_exact,1.000
abdominalRadiology,Abdominal Radiology,"Radiology, Imaging & Nuclear Medicine",normalized_exact,1.000
tuboplasty,Tuboplasty,Other / Needs Review,normalized_exact,1.000
paediatricNeurosurgery,Paediatric Neurosurgery,Pediatrics & Neonatology,normalized_exact,1.000
Diabetes,Diabetes,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
laserTherapyPLDD,Laser Therapy Pldd,"Rehabilitation, Physiotherapy & Allied Health",normalized_exact,1.000
Wisdom tooth extraction,Wisdom Tooth Extraction,"Dental, Oral & Maxillofacial",normalized_exact,1.000
temporomandibularDisorders,Temporomandibular Disorders,Other / Needs Review,normalized_exact,1.000
microvascular,Microvascular,Vascular & Endovascular,normalized_exact,1.000
Faciomaxillary,Faciomaxillary,Other / Needs Review,normalized_exact,1.000
yogaAndNaturopathy,Yoga and Naturopathy,Alternative & Integrative Medicine,normalized_exact,1.000
Diabetic Foot Surgery,Diabetic Foot Surgery,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
EndoUrology,Endo Urology,"Urology, Nephrology & Transplant",normalized_exact,1.000
Plastic Surgery  Cosmetic Surgery,Plastic Surgery Cosmetic Surgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
Sexual Medicine,Sexual Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
completeDentistry,Complete Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
pediatricPulmonary,Pediatric Pulmonary,Pediatrics & Neonatology,normalized_exact,1.000
pediatricNeurosurgeryAndTrauma,Pediatric Neurosurgery and Trauma,"Emergency, Trauma & Critical Care",normalized_exact,1.000
oral cancer detection and management,Oral Cancer Detection and Management,Oncology & Hematology,normalized_exact,1.000
